S1,DateTime,N1,AC,PS,TI,U,LN,R2
W,2018-04-27 05:00:00,Y,2943,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1010,C_050,15-54-SR,U/L,Bob,
W,2018-04-27 05:00:00,Y,2247,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1915,C_050,15-54-SR,M/L,Bob,
W,2018-04-27 05:00:00,N,1025,C_050,15-54-SR,M/L,Bob,
W,2018-04-27 05:00:00,Y,1041,C_050,15-54-SR,M/L,Bob,ND
W,2018-04-27 05:00:00,Y,2997,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2050,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2946,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1920,C_050,15-54-SR,T,Bob,ND
W,2018-04-27 05:00:00,Y,2030,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2326,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1036,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2210,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2214,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2625,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2274,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2065,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2430,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2246,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2042,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2993,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1028,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2994,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2039,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1030,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2963,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1075,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1031,C_050,15-54-SR,M/L,Bob,
W,2018-04-27 05:00:00,Y,2306,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2990,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1032,C_050,15-54-SR,U/L,Bob,
W,2018-04-27 05:00:00,N,1032,C_050,15-54-SR,U/L,Bob,
W,2018-04-27 05:00:00,Y,1035,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2015,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2992,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1039,C_050,15-54-SR,U/L,Bob,
W,2018-04-27 05:00:00,Y,2005,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2033,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1005,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2228,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2942,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1930,C_050,15-54-SR,M/L,Bob,
W,2018-04-27 05:00:00,Y,2944,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2020,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1074,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2224,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2984,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2218,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2904,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,100,C_050,15-54-SR,N,Bob,
W,2018-04-27 05:00:00,Y,2976,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2955,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2905,C_050,15-54-SR,M/L,Bob,ND
W,2018-04-27 05:00:00,Y,1095,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1079,C_050,15-54-SR,U/L,Bob,
W,2018-04-27 05:00:00,Y,2035,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1040,C_050,15-54-SR,M/L,Bob,
W,2018-04-27 05:00:00,Y,2991,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2031,C_050,15-54-SR,U/L,Bob,ND
